PID;ExterCond;ExterQual;HeatingQC;KitchenQual;MSZoning;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;Foundation;Heating;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;Kitchen;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;Fence;MSSubClass;GrLivArea;FullBath;HalfBath;Bedroom;SaleType;SaleCondition;SalePrice;MoSold;YrSold;GarageCond;GarageType;GarageYrBlt;GarageCars;GarageQual;GarageFinish;GarageArea;BsmtUnfSF;BsmtCond;BsmtHalfBath;BsmtFinType1;BsmtFinType2;TotalBsmtSF;BsmtExposure;BsmtFullBath;BsmtQual;BsmtFinSF2;BsmtFinSF1;MiscFeature;MiscVal;PoolQC;PoolArea;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd
526301100;3;3;4;3;6;Hip    ;CompShg;BrkFace;Plywood;Stone  ;112;CBlock;GasA ;Y;SBrkr;1656;0;0;1;7;Typ ;2;Gd;P;210;62;0;0;0;NA   ;20;1656,0;1.0;0.0;3.0;WD   ;Normal ;215000;5;2010;TA;Attchd;1960;2;TA;Fin;528;441;Gd;0;BLQ;Unf;1080;Gd;1;TA;0;639;NA;;NA;;141;31770;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1960;1960
526302030;3;3;2;3;6;Hip    ;CompShg;Wd Sdng;Wd Sdng;Stone  ;28;CBlock;GasA ;Y;SBrkr;1293;0;0;1;5;Typ ;0;NA;Y;280;0;0;0;0;NA   ;20;1293,0;2.0;0.0;2.0;WD   ;Normal ;149900;5;2006;TA;Attchd;1954;2;TA;RFn;452;171;TA;0;BLQ;Rec;1178;No;1;TA;539;468;NA;;NA;;;11027;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1954;1954
526302040;2;3;3;2;6;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;244;CBlock;GasA ;Y;SBrkr;1024;0;0;1;5;Typ ;2;TA;Y;0;0;0;0;280;NA   ;20;1024,0;1.0;0.0;2.0;WD   ;Normal ;157500;8;2006;TA;Attchd;1956;1;TA;Unf;313;235;TA;0;Rec;Unf;1008;No;1;TA;0;773;NA;;NA;;85;10533;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1956;1956
526302110;3;3;3;3;6;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;882;0;0;1;5;Typ ;0;NA;Y;0;0;0;0;0;NA   ;20;882,0;1.0;0.0;2.0;WD   ;Normal ;124500;10;2009;TA;Attchd;1956;1;TA;Unf;502;318;Fa;0;Rec;Unf;882;No;0;Fa;0;564;NA;;NA;;74;13008;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1956;1956
526302120;3;3;4;3;6;Gable  ;CompShg;Wd Sdng;Wd Sdng;Stone  ;302;CBlock;GasA ;Y;SBrkr;1797;0;0;1;7;Typ ;1;TA;Y;0;0;0;0;0;NA   ;20;1797,0;1.0;1.0;3.0;WD   ;Normal ;169000;6;2006;TA;Attchd;1957;3;TA;Unf;963;490;TA;0;Rec;Unf;1617;Mn;0;TA;0;1127;NA;;NA;;;11765;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;5;5;1957;1957
526303060;3;3;1;1;6;Gable  ;CompShg;Wd Sdng;Wd Sdng;Stone  ;902;CBlock;GasA ;Y;SBrkr;1390;0;0;1;4;Min1;2;Gd;Y;0;189;0;0;0;NA   ;20;1390,0;1.0;1.0;1.0;WD   ;Abnorml;252000;10;2006;TA;Attchd;1957;2;TA;Unf;550;595;TA;0;ALQ;Unf;1705;Gd;1;Gd;0;1110;NA;;NA;;;39384;Pave;NA  ;Slightly irregular  ;Low;AllPub;CulDSac;Sev;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1957;1957
526350040;3;3;3;3;5;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;CBlock;GasA ;Y;SBrkr;896;0;0;1;5;Typ ;0;NA;Y;140;0;0;0;120;MnPrv;20;896,0;1.0;0.0;2.0;WD   ;Normal ;105000;6;2010;TA;Attchd;1961;1;TA;Unf;730;270;TA;0;Rec;LwQ;882;No;0;TA;144;468;NA;;NA;;80;11622;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Adjacent to feeder street     ;Normal;1Fam  ;1Story;5;6;1961;1961
526351010;3;3;3;2;6;Hip    ;CompShg;Wd Sdng;Wd Sdng;BrkFace;108;CBlock;GasA ;Y;SBrkr;1329;0;0;1;6;Typ ;0;NA;Y;393;36;0;0;0;NA   ;20;1329,0;1.0;1.0;3.0;WD   ;Normal ;172000;6;2010;TA;Attchd;1958;1;TA;Unf;312;406;TA;0;ALQ;Unf;1329;No;0;TA;0;923;Gar2;12500;NA;;81;14267;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1958;1958
526351030;3;1;1;3;6;Hip    ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;1414;0;0;1;6;Min1;1;TA;Y;0;51;0;0;190;NA   ;20;1414,0;1.0;0.0;3.0;WD   ;Normal ;176500;5;2008;TA;Attchd;1990;2;TA;Unf;601;245;TA;0;ALQ;BLQ;1184;No;1;Gd;411;528;NA;;NA;;87;11029;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;8;1958;2002
526351100;3;3;3;3;6;Hip    ;CompShg;Plywood;Plywood;BrkFace;440;CBlock;GasA ;Y;SBrkr;1434;0;0;1;7;Typ ;1;Gd;Y;80;21;0;0;0;NA   ;20;1434,0;2.0;0.0;4.0;WD   ;Normal ;157000;6;2009;TA;Attchd;1974;2;TA;RFn;528;590;TA;0;LwQ;Unf;1434;No;1;TA;0;844;NA;;NA;;85;10200;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;5;1974;1974
